Shipping_Mode,Baseline_Orders,Baseline_Delayed_Orders,Baseline_Delay_Rate_Pct,Improvement_Points,Estimated_Avoided_Delayed_Orders,Scenario_Delay_Rate_Pct
Standard Class,37632,14995,39.846407312925166,5,1882,34.846407312925166
Second Class,12256,9803,79.9853133159269,5,613,74.9853133159269
First Class,9602,9602,100.0,5,480,95.0
Same Day,3407,1648,48.371000880540066,5,170,43.371000880540066
Standard Class,37632,14995,39.846407312925166,10,3763,29.846407312925166
Second Class,12256,9803,79.9853133159269,10,1226,69.9853133159269
First Class,9602,9602,100.0,10,960,90.0
Same Day,3407,1648,48.371000880540066,10,341,38.371000880540066
